ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
89,Cafea boabe,-251,Café,Cash,RON,07/10/2022,No,False
90,Spalare interior/exterior,-65,Maintenance,Cash,RON,07/10/2022,No,False
91,"Ștergător, bec pozitie, antigel",-77.43,Maintenance,Cash,RON,07/10/2022,No,False
92,Cămăși Zara,-350.29,Clothing,Cash,RON,07/10/2022,No,False
93,Pasta de dinți,-29.83,Personal Care,Cash,RON,07/10/2022,No,False
94,Meniuri nunta,-63.58,Other Expense,Cash,RON,07/10/2022,No,False
95,,7620,Salary,Cash,RON,07/10/2022,No,False
96,Profi,-60.61,Restaurants,Cash,RON,04/10/2022,No,False
97,Mega Image,-119.99,Restaurants,Cash,RON,04/10/2022,No,False
98,Bonuri masa,374,Salary,Cash,RON,04/10/2022,No,False
99,"Sticle, pungi mărturii",-505.5,Other Expense,Cash,RON,03/10/2022,No,False
100,Boxe si pupitru DJ,-2150,Other Expense,Cash,RON,03/10/2022,No,False
101,Catalina,500,Gifts,Cash,RON,03/10/2022,No,False
102,Vin nunta,-250,Other Expense,Cash,RON,02/10/2022,No,False
103,Mega Image,-8.78,Restaurants,Cash,RON,01/10/2022,No,False
104,,-51.74,Internet Bill,Cash,RON,01/10/2022,No,False
105,Fresh box,-30,Restaurants,Cash,RON,29/09/2022,No,False
106,Fresh box,-25,Restaurants,Cash,RON,28/09/2022,No,False
107,Fresh box,-25,Restaurants,Cash,RON,27/09/2022,No,False
108,Bilet CTP,-3,Transportation,Cash,RON,26/09/2022,No,False
109,Bilet CTP,-3,Transportation,Cash,RON,26/09/2022,No,False
110,Bere,-27.85,Food & Beverage,Cash,RON,24/09/2022,No,False
111,Back to da Vinci,-87,Restaurants,Cash,RON,24/09/2022,No,False
112,Mega Image,-14.87,Restaurants,Cash,RON,23/09/2022,No,False
113,Suport prosoape,-60,Home Improvement,Cash,RON,23/09/2022,No,False
114,Fresh box,-25,Restaurants,Cash,RON,22/09/2022,No,False
115,Fresh box,-28,Restaurants,Cash,RON,21/09/2022,No,False
116,Mega Image,-46.22,Restaurants,Cash,RON,20/09/2022,No,False
117,"Sampon, solutie regenerare par",-397,Personal Care,Cash,RON,20/09/2022,No,False
118,Tuns,-120,Personal Care,Cash,RON,20/09/2022,No,False
119,Bilet CTP,-3,Transportation,Cash,RON,19/09/2022,No,False
120,Bilet CTP,-3,Transportation,Cash,RON,19/09/2022,No,False
121,Hotel Briliant,-106,Restaurants,Cash,RON,18/09/2022,No,False
122,Apa,-3.99,Food & Beverage,Cash,RON,17/09/2022,No,False
123,Mancare chinezească,-34,Restaurants,Cash,RON,17/09/2022,No,False
124,,-492.46,Petrol,Cash,RON,17/09/2022,No,False
125,Irish,-25.77,Food & Beverage,Cash,RON,16/09/2022,No,False
126,Suc,-3,Food & Beverage,Cash,RON,16/09/2022,No,False
127,Fresh box,-28,Restaurants,Cash,RON,16/09/2022,No,False
128,Mega Image,-6.43,Restaurants,Cash,RON,15/09/2022,No,False
129,Fresh box,-18,Restaurants,Cash,RON,15/09/2022,No,False
