ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
33,Nospa,-21.49,Pharmacy,Cash,RON,12/02/2023,No,False
34,Comision Star BT,-26,Fees & Charges,Cash,RON,10/02/2023,No,False
35,Fresh box,-30,Restaurants,Cash,RON,09/02/2023,No,False
36,Fresh box,-24,Restaurants,Cash,RON,07/02/2023,No,False
37,Fresh box,-30,Restaurants,Cash,RON,06/02/2023,No,False
38,,9401,Salary,Cash,RON,06/02/2023,No,False
39,,-388.41,Petrol,Cash,RON,05/02/2023,No,False
40,Bonuri masa,380,Salary,Cash,RON,02/02/2023,No,False
41,Mega Image,-20.59,Restaurants,Cash,RON,31/01/2023,No,False
42,Uscător de rufe,-2497.81,Home Improvement,Cash,RON,30/01/2023,No,False
43,"Popcorn, suc",-30,Restaurants,Cash,RON,29/01/2023,No,False
44,Back to da Vinci,-85,Restaurants,Cash,RON,28/01/2023,No,False
45,Taximetristi,-61.2,Movies,Cash,RON,28/01/2023,No,False
46,Mega Image,-22.08,Restaurants,Cash,RON,27/01/2023,No,False
47,Deodorant,-16.19,Personal Care,Cash,RON,27/01/2023,No,False
48,Mega Image,-4.48,Restaurants,Cash,RON,26/01/2023,No,False
49,Mega Image,-2.69,Restaurants,Cash,RON,25/01/2023,No,False
50,Mariflor,-81.7,Restaurants,Cash,RON,24/01/2023,No,False
51,Baterie Varta AGM,-1120,Maintenance,Cash,RON,23/01/2023,No,False
52,Tras arma USC,-150,Entertainment,Cash,RON,23/01/2023,No,False
53,Tudi,-3,Other Expense,Cash,RON,23/01/2023,No,False
54,,-50,Petrol,Cash,RON,22/01/2023,No,False
55,Fornetti,-6,Restaurants,Cash,RON,20/01/2023,No,False
56,,-30.22,Petrol,Cash,RON,20/01/2023,No,False
57,Extinctor,-94.75,Maintenance,Cash,RON,20/01/2023,No,False
58,Inlocuire cheie,-170,Maintenance,Cash,RON,20/01/2023,No,False
59,Mega Image,-5.79,Restaurants,Cash,RON,19/01/2023,No,False
60,Bere,-15,Food & Beverage,Cash,RON,18/01/2023,No,False
61,Mega Image,-10.7,Restaurants,Cash,RON,18/01/2023,No,False
62,Fresh box,-25,Restaurants,Cash,RON,17/01/2023,No,False
63,Abonament parcare 1 an,-71,Parking Fees,Cash,RON,17/01/2023,No,False
64,,-746.6,Electricity Bill,Cash,RON,16/01/2023,No,False
65,Mega Image,-10.43,Restaurants,Cash,RON,13/01/2023,No,False
66,Mega Image,-16.13,Restaurants,Cash,RON,12/01/2023,No,False
67,Mega Image,-13.16,Restaurants,Cash,RON,11/01/2023,No,False
68,Fresh box,-30,Restaurants,Cash,RON,10/01/2023,No,False
69,"Gel dus, deodorant",-53.43,Personal Care,Cash,RON,10/01/2023,No,False
70,Foto si album nunta,-4000,Family,Cash,RON,10/01/2023,No,False
71,Mega Image,-10.93,Restaurants,Cash,RON,09/01/2023,No,False
72,,-13,Taxi,Cash,RON,07/01/2023,No,False
73,Mariflor,-89.5,Restaurants,Cash,RON,06/01/2023,No,False
74,Iulian,-93.8,Friends & Lover,Cash,RON,06/01/2023,No,False
75,,9401,Salary,Cash,RON,06/01/2023,No,False
76,Bonus anual,8519,Salary,Cash,RON,06/01/2023,No,False
77,Tudi,-103.4,Friends & Lover,Cash,RON,04/01/2023,No,False
78,Bonuri masa,300,Salary,Cash,RON,04/01/2023,No,False
79,McDonald's,-139.45,Restaurants,Cash,RON,31/12/2022,No,False
80,Bilete Lugano - Como San Giovanni,-165.23,Taxi,Cash,RON,31/12/2022,No,False
81,,-53.8,Taxi,Cash,RON,29/12/2022,No,False
82,Bogdan,-17.58,Other Expense,Cash,RON,28/12/2022,No,False
83,Mega Image,-46.32,Restaurants,Cash,RON,27/12/2022,No,False
84,,-77.76,Water Bill,Cash,RON,27/12/2022,No,False
85,,-62.4,Internet Bill,Cash,RON,27/12/2022,No,False
86,,-3.76,Parking Fees,Cash,RON,27/12/2022,No,False
87,Catalina si Emanuel,-207.21,Other Expense,Cash,RON,27/12/2022,No,False
88,Urban,-24.5,Restaurants,Cash,RON,23/12/2022,No,False
89,Bilet CTP,-3,Transportation,Cash,RON,22/12/2022,No,False
90,Mega Image,-39.99,Restaurants,Cash,RON,21/12/2022,No,False
91,Gel dus,-68.07,Personal Care,Cash,RON,19/12/2022,No,False
92,Laura,-42,Friends & Lover,Cash,RON,18/12/2022,No,False
93,Vlad,-249,Friends & Lover,Cash,RON,18/12/2022,No,False
94,Spalare exterior,-7,Maintenance,Cash,RON,17/12/2022,No,False
95,Schimb anvelope,-100,Maintenance,Cash,RON,17/12/2022,No,False
96,Teambuilding,-58.6,Movies,Cash,RON,16/12/2022,No,False
97,Bonuri cadou,300,Salary,Cash,RON,16/12/2022,No,False
98,Fresh box,-36,Restaurants,Cash,RON,15/12/2022,No,False
99,Mega Image,-16.01,Restaurants,Cash,RON,14/12/2022,No,False
100,Mega Image,-8.83,Restaurants,Cash,RON,13/12/2022,No,False
101,Bitdefender Total Security 1 an,-74.99,Electronics,Cash,RON,13/12/2022,No,False
102,Fresh box,-24,Restaurants,Cash,RON,12/12/2022,No,False
103,Mega Image,-15.57,Restaurants,Cash,RON,09/12/2022,No,False
104,,-27,Taxi,Cash,RON,09/12/2022,No,False
105,,-32.9,Taxi,Cash,RON,09/12/2022,No,False
106,Mega Image,-23.28,Restaurants,Cash,RON,08/12/2022,No,False
107,Trabuc,-26.9,Other Expense,Cash,RON,08/12/2022,No,False
108,Mega Image,-24.27,Restaurants,Cash,RON,07/12/2022,No,False
109,,9401,Salary,Cash,RON,07/12/2022,No,False
110,Fresh box,-24,Restaurants,Cash,RON,06/12/2022,No,False
111,Fresh box,-30,Restaurants,Cash,RON,05/12/2022,No,False
112,Bonuri masa,380,Salary,Cash,RON,05/12/2022,No,False
113,Carrefour,-171.97,Restaurants,Cash,RON,04/12/2022,No,False
114,,-463.16,Petrol,Cash,RON,04/12/2022,No,False
115,,-5,Charity,Cash,RON,04/12/2022,No,False
116,Spălătorie,-7,Bike,Cash,RON,01/12/2022,No,False
117,Mega Image,-6,Restaurants,Cash,RON,29/11/2022,No,False
118,Fresh box,-22,Restaurants,Cash,RON,28/11/2022,No,False
119,Palton,-350.39,Clothing,Cash,RON,28/11/2022,No,False
120,,-70.68,Water Bill,Cash,RON,27/11/2022,No,False
121,,-52.06,Internet Bill,Cash,RON,27/11/2022,No,False
122,,-39.4,Taxi,Cash,RON,27/11/2022,No,False
123,Bilete Milano,-3651,Travel,Cash,RON,27/11/2022,No,False
124,Ady,-91.27,Other Expense,Cash,RON,26/11/2022,No,False
125,Adriana,-80,Other Expense,Cash,RON,26/11/2022,No,False
126,Bere,-70,Food & Beverage,Cash,RON,24/11/2022,No,False
127,Mega Image,-17.98,Restaurants,Cash,RON,23/11/2022,No,False
128,Deodorant,-16.49,Personal Care,Cash,RON,23/11/2022,No,False
129,Stradale,-28,Restaurants,Cash,RON,22/11/2022,No,False
130,Profi,-40.31,Restaurants,Cash,RON,18/11/2022,No,False
131,Parasinus,-13.49,Pharmacy,Cash,RON,18/11/2022,No,False
132,Assetto Corsa Evoluzione,-17.07,Games,Cash,RON,13/11/2022,No,False
133,Fresh box,-30,Restaurants,Cash,RON,10/11/2022,No,False
134,Mega Image,-25.36,Restaurants,Cash,RON,09/11/2022,No,False
135,Fresh box,-24,Restaurants,Cash,RON,08/11/2022,No,False
136,Bere,-30,Food & Beverage,Cash,RON,07/11/2022,No,False
137,Mega Image,-16.98,Restaurants,Cash,RON,07/11/2022,No,False
138,Rummu,-116,Restaurants,Cash,RON,06/11/2022,No,False
139,,-82.31,Water Bill,Cash,RON,06/11/2022,No,False
140,Pepsi,-3.19,Food & Beverage,Cash,RON,04/11/2022,No,False
141,,9400,Salary,Cash,RON,04/11/2022,No,False
142,,-52.4,Internet Bill,Cash,RON,03/11/2022,No,False
143,Laura,-29.8,Friends & Lover,Cash,RON,03/11/2022,No,False
144,Bonuri masa,300,Salary,Cash,RON,03/11/2022,No,False
145,Urban,-21,Restaurants,Cash,RON,01/11/2022,No,False
146,Mega Image,-8.78,Restaurants,Cash,RON,31/10/2022,No,False
147,Fresh box,-25,Restaurants,Cash,RON,28/10/2022,No,False
148,"Sapun, deodorant",-71.08,Personal Care,Cash,RON,28/10/2022,No,False
149,Taxi Ruxi,-13,Other Expense,Cash,RON,28/10/2022,No,False
150,Profi,-19.37,Restaurants,Cash,RON,27/10/2022,No,False
151,Fresh box,-30,Restaurants,Cash,RON,26/10/2022,No,False
152,Mega Image,-32.74,Restaurants,Cash,RON,25/10/2022,No,False
153,Mega Image,-7.44,Restaurants,Cash,RON,24/10/2022,No,False
154,Mirciulica,-53,Movies,Cash,RON,22/10/2022,No,False
155,Adriana,-432,Other Expense,Cash,RON,22/10/2022,No,False
156,Mega Image,-23.8,Restaurants,Cash,RON,21/10/2022,No,False
157,Mega Image,-9.84,Restaurants,Cash,RON,20/10/2022,No,False
158,Porumb,-10,Restaurants,Cash,RON,19/10/2022,No,False
159,Shanghai,-35.5,Restaurants,Cash,RON,19/10/2022,No,False
160,Cutii,-30,Home Improvement,Cash,RON,19/10/2022,No,False
161,Fresh box,-30,Restaurants,Cash,RON,18/10/2022,No,False
162,Mega Image,-15.38,Restaurants,Cash,RON,17/10/2022,No,False
163,Fresh box,-22,Restaurants,Cash,RON,17/10/2022,No,False
164,Karting,-400,Entertainment,Cash,RON,16/10/2022,No,False
165,Rareș - pt gheata carbonica,-250,Other Expense,Cash,RON,13/10/2022,No,False
166,Mega Image,-62.19,Restaurants,Cash,RON,12/10/2022,No,False
167,Mariflor,-62.76,Restaurants,Cash,RON,12/10/2022,No,False
168,,-332.05,Petrol,Cash,RON,12/10/2022,No,False
169,NFS Heat,-17.39,Games,Cash,RON,11/10/2022,No,False
170,Sabina,-158.35,Other Expense,Cash,RON,11/10/2022,No,False
171,Laura,-2000,Other Expense,Cash,RON,11/10/2022,No,False
172,Bogdan,1500,Gifts,Cash,RON,11/10/2022,No,False
173,Laura,-4000,Other Expense,Cash,RON,10/10/2022,No,False
174,"Macheta tort, mărturii",-1450,Other Expense,Cash,RON,10/10/2022,No,False
175,Ady,4000,Gifts,Cash,RON,10/10/2022,No,False
176,Laura,1500,Other Income,Cash,RON,10/10/2022,No,False
177,Hotel Briliant cazare,-3612.78,Other Expense,Cash,RON,09/10/2022,No,False
178,Laura,-500,Friends & Lover,Cash,RON,08/10/2022,No,False
179,Muzeul etnografic Romulus Vuia,-150,Other Expense,Cash,RON,08/10/2022,No,False
180,Hotel Briliant meniuri,-33960,Other Expense,Cash,RON,08/10/2022,No,False
181,Photobooth,-1400,Other Expense,Cash,RON,08/10/2022,No,False
182,Ansamblul folcloric Mărțișorul,-1600,Other Expense,Cash,RON,08/10/2022,No,False
183,Ospatari nunta,-3400,Other Expense,Cash,RON,08/10/2022,No,False
184,Prăjitură,-30,Restaurants,Cash,RON,07/10/2022,No,False
185,Mega Image,-24.07,Restaurants,Cash,RON,07/10/2022,No,False
186,Cafea boabe,-251,Café,Cash,RON,07/10/2022,No,False
187,Spalare interior/exterior,-65,Maintenance,Cash,RON,07/10/2022,No,False
188,"Ștergător, bec pozitie, antigel",-77.43,Maintenance,Cash,RON,07/10/2022,No,False
189,Cămăși Zara,-350.29,Clothing,Cash,RON,07/10/2022,No,False
190,Pasta de dinți,-29.83,Personal Care,Cash,RON,07/10/2022,No,False
191,Meniuri nunta,-63.58,Other Expense,Cash,RON,07/10/2022,No,False
192,,7620,Salary,Cash,RON,07/10/2022,No,False
193,Profi,-60.61,Restaurants,Cash,RON,04/10/2022,No,False
194,Mega Image,-119.99,Restaurants,Cash,RON,04/10/2022,No,False
195,Bonuri masa,374,Salary,Cash,RON,04/10/2022,No,False
196,"Sticle, pungi mărturii",-505.5,Other Expense,Cash,RON,03/10/2022,No,False
197,Boxe si pupitru DJ,-2150,Other Expense,Cash,RON,03/10/2022,No,False
198,Catalina,500,Gifts,Cash,RON,03/10/2022,No,False
199,Vin nunta,-250,Other Expense,Cash,RON,02/10/2022,No,False
200,Mega Image,-8.78,Restaurants,Cash,RON,01/10/2022,No,False
201,,-51.74,Internet Bill,Cash,RON,01/10/2022,No,False
202,Fresh box,-30,Restaurants,Cash,RON,29/09/2022,No,False
203,Fresh box,-25,Restaurants,Cash,RON,28/09/2022,No,False
204,Fresh box,-25,Restaurants,Cash,RON,27/09/2022,No,False
205,Bilet CTP,-3,Transportation,Cash,RON,26/09/2022,No,False
206,Bilet CTP,-3,Transportation,Cash,RON,26/09/2022,No,False
207,Bere,-27.85,Food & Beverage,Cash,RON,24/09/2022,No,False
208,Back to da Vinci,-87,Restaurants,Cash,RON,24/09/2022,No,False
209,Mega Image,-14.87,Restaurants,Cash,RON,23/09/2022,No,False
210,Suport prosoape,-60,Home Improvement,Cash,RON,23/09/2022,No,False
211,Fresh box,-25,Restaurants,Cash,RON,22/09/2022,No,False
212,Fresh box,-28,Restaurants,Cash,RON,21/09/2022,No,False
213,Mega Image,-46.22,Restaurants,Cash,RON,20/09/2022,No,False
214,"Sampon, solutie regenerare par",-397,Personal Care,Cash,RON,20/09/2022,No,False
215,Tuns,-120,Personal Care,Cash,RON,20/09/2022,No,False
216,Bilet CTP,-3,Transportation,Cash,RON,19/09/2022,No,False
217,Bilet CTP,-3,Transportation,Cash,RON,19/09/2022,No,False
218,Hotel Briliant,-106,Restaurants,Cash,RON,18/09/2022,No,False
219,Apa,-3.99,Food & Beverage,Cash,RON,17/09/2022,No,False
220,Mancare chinezească,-34,Restaurants,Cash,RON,17/09/2022,No,False
221,,-492.46,Petrol,Cash,RON,17/09/2022,No,False
222,Irish,-25.77,Food & Beverage,Cash,RON,16/09/2022,No,False
223,Suc,-3,Food & Beverage,Cash,RON,16/09/2022,No,False
224,Fresh box,-28,Restaurants,Cash,RON,16/09/2022,No,False
225,Mega Image,-6.43,Restaurants,Cash,RON,15/09/2022,No,False
226,Fresh box,-18,Restaurants,Cash,RON,15/09/2022,No,False
227,Bilet CTP,-3,Transportation,Cash,RON,14/09/2022,No,False
228,Bilet CTP,-3,Transportation,Cash,RON,14/09/2022,No,False
229,Dora,-55.59,Friends & Lover,Cash,RON,14/09/2022,No,False
230,Dentist,-250,Doctor,Cash,RON,14/09/2022,No,False
231,Curea,-110,Clothing,Cash,RON,13/09/2022,No,False
232,Imprumut Bogdan,-15000,Friends & Lover,Cash,RON,13/09/2022,No,False
233,Smaranda - pentru motorina,20,Other Income,Cash,RON,13/09/2022,No,False
234,Mega Image,-24.82,Restaurants,Cash,RON,12/09/2022,No,False
235,Bilet CTP,-3,Transportation,Cash,RON,12/09/2022,No,False
236,Bilet CTP,-3,Transportation,Cash,RON,12/09/2022,No,False
237,Suc,-31.83,Food & Beverage,Cash,RON,11/09/2022,No,False
238,Waffles,-12,Restaurants,Cash,RON,11/09/2022,No,False
239,Profi,-18.38,Restaurants,Cash,RON,11/09/2022,No,False
240,,-441.77,Petrol,Cash,RON,11/09/2022,No,False
241,Ady,-35,Friends & Lover,Cash,RON,11/09/2022,No,False
242,Burger si shawarma,-65,Restaurants,Cash,RON,08/09/2022,No,False
243,"Chipsuri, apa",-15.7,Restaurants,Cash,RON,05/09/2022,No,False
244,,7655,Salary,Cash,RON,05/09/2022,No,False
245,Hotel Briliant,-238,Restaurants,Cash,RON,03/09/2022,No,False
246,Mafia definitive edition,-61.4,Games,Cash,RON,03/09/2022,No,False
247,Mega Image,-21.68,Restaurants,Cash,RON,02/09/2022,No,False
248,Bonuri masa,289,Salary,Cash,RON,02/09/2022,No,False
249,Mega Image,-1.69,Restaurants,Cash,RON,01/09/2022,No,False
250,Fresh box,-28,Restaurants,Cash,RON,01/09/2022,No,False
251,,-75.65,Petrol,Cash,RON,01/09/2022,No,False
252,Mega Image,-23.97,Restaurants,Cash,RON,31/08/2022,No,False
253,Stradale,-32,Restaurants,Cash,RON,31/08/2022,No,False
254,Bere,-35,Food & Beverage,Cash,RON,29/08/2022,No,False
255,Profi,-32.39,Restaurants,Cash,RON,29/08/2022,No,False
256,Apa,-8.98,Food & Beverage,Cash,RON,28/08/2022,No,False
257,,-430.63,Petrol,Cash,RON,28/08/2022,No,False
258,Bubble tea,-38,Food & Beverage,Cash,RON,27/08/2022,No,False
259,,-100.02,Water Bill,Cash,RON,27/08/2022,No,False
260,,-52.29,Internet Bill,Cash,RON,27/08/2022,No,False
261,Costum de mire,-1298,Clothing,Cash,RON,27/08/2022,No,False
262,Mega Image,-15,Restaurants,Cash,RON,26/08/2022,No,False
263,Bere,-7,Food & Beverage,Cash,RON,25/08/2022,No,False
264,McDonald's,-23,Restaurants,Cash,RON,25/08/2022,No,False
265,Fresh box,-22,Restaurants,Cash,RON,25/08/2022,No,False
266,Bere,-201.4,Food & Beverage,Cash,RON,24/08/2022,No,False
267,Tort,-82,Restaurants,Cash,RON,23/08/2022,No,False
268,Mega Image,-47.17,Restaurants,Cash,RON,23/08/2022,No,False
269,Bilet CTP,-3,Transportation,Cash,RON,18/08/2022,No,False
270,Bilet CTP,-3,Transportation,Cash,RON,18/08/2022,No,False
271,Danu si Sorina,-143.71,Friends & Lover,Cash,RON,17/08/2022,No,False
272,Paste,-21,Restaurants,Cash,RON,13/08/2022,No,False
273,,-448.23,Petrol,Cash,RON,13/08/2022,No,False
274,Mega Image,-8.5,Restaurants,Cash,RON,12/08/2022,No,False
275,Fresh box,-28,Restaurants,Cash,RON,11/08/2022,No,False
276,Mega Image,-3.99,Restaurants,Cash,RON,10/08/2022,No,False
277,Ceas cu termometru LED,-79.98,Electronics,Cash,RON,08/08/2022,No,False
278,,7655,Salary,Cash,RON,08/08/2022,No,False
279,Plase insecte,-214,Home Improvement,Cash,RON,04/08/2022,No,False
280,Test antigen covid,-60,Doctor,Cash,RON,03/08/2022,No,False
281,Bonuri masa,306,Salary,Cash,RON,03/08/2022,No,False
282,Dentist,-850,Doctor,Cash,RON,01/08/2022,No,False
283,Cabana,-1000,Other Expense,Cash,RON,31/07/2022,No,False
284,Gin,-64.85,Food & Beverage,Cash,RON,29/07/2022,No,False
285,Energizant,-2.79,Food & Beverage,Cash,RON,29/07/2022,No,False
286,Carrefour,-663.66,Restaurants,Cash,RON,29/07/2022,No,False
287,Mariflor,-262.8,Restaurants,Cash,RON,29/07/2022,No,False
288,,-496.86,Petrol,Cash,RON,29/07/2022,No,False
289,Bile si capsule airsoft,-134.43,Sports,Cash,RON,29/07/2022,No,False
290,Invitatii nuntă,-211.5,Family,Cash,RON,29/07/2022,No,False
291,Bere,-20,Food & Beverage,Cash,RON,28/07/2022,No,False
292,Mega Image,-27.34,Restaurants,Cash,RON,28/07/2022,No,False
293,,-86.86,Water Bill,Cash,RON,28/07/2022,No,False
294,,-52.42,Internet Bill,Cash,RON,28/07/2022,No,False
295,Twelve,-39,Restaurants,Cash,RON,27/07/2022,No,False
296,Apa,-11.33,Food & Beverage,Cash,RON,26/07/2022,No,False
297,Bere si shot-uri,-140,Food & Beverage,Cash,RON,26/07/2022,No,False
298,McDonald's,-40.8,Restaurants,Cash,RON,26/07/2022,No,False
299,"Apa, cafea",-47.95,Food & Beverage,Cash,RON,25/07/2022,No,False
300,Pizza si bere,-110,Restaurants,Cash,RON,25/07/2022,No,False
301,"Chipsuri, banane",-14,Restaurants,Cash,RON,25/07/2022,No,False
302,Mega Image,-6.28,Restaurants,Cash,RON,22/07/2022,No,False
303,Stradale,-32,Restaurants,Cash,RON,22/07/2022,No,False
304,Spalare interior/exterior,-65,Maintenance,Cash,RON,22/07/2022,No,False
305,Silicon,-87.43,Home Improvement,Cash,RON,22/07/2022,No,False
306,McDonald's,-43.2,Restaurants,Cash,RON,21/07/2022,No,False
307,Stradale,-25,Restaurants,Cash,RON,21/07/2022,No,False
308,Mega Image,-1.94,Restaurants,Cash,RON,20/07/2022,No,False
309,Profi,-13.98,Restaurants,Cash,RON,19/07/2022,No,False
310,Mega Image,-26.53,Restaurants,Cash,RON,19/07/2022,No,False
311,Ady,25,Other Income,Cash,RON,19/07/2022,No,False
312,Pepene galben,-10,Restaurants,Cash,RON,18/07/2022,No,False
313,Profi,-55.66,Restaurants,Cash,RON,18/07/2022,No,False
314,Mega Image,-41.83,Restaurants,Cash,RON,18/07/2022,No,False
315,Casti Epos H3Pro Hybrid,-359,Electronics,Cash,RON,18/07/2022,No,False
316,Apa,-2.09,Food & Beverage,Cash,RON,16/07/2022,No,False
317,Cartofi și cârnaț,-15,Restaurants,Cash,RON,16/07/2022,No,False
318,Bilet CTP,-3,Transportation,Cash,RON,16/07/2022,No,False
319,,-29.8,Taxi,Cash,RON,16/07/2022,No,False
320,Mega Image,-20.42,Restaurants,Cash,RON,15/07/2022,No,False
321,Mega Image,-4.39,Restaurants,Cash,RON,15/07/2022,No,False
322,Suc,-5,Food & Beverage,Cash,RON,14/07/2022,No,False
323,,-8,Parking Fees,Cash,RON,14/07/2022,No,False
324,Perdele și draperii,-1256.11,Home Improvement,Cash,RON,14/07/2022,No,False
325,Fresh box,-28,Restaurants,Cash,RON,12/07/2022,No,False
326,Cazare București,-592.67,Travel,Cash,RON,12/07/2022,No,False
327,Mega Image,-4.46,Restaurants,Cash,RON,11/07/2022,No,False
328,Stradale,-14,Restaurants,Cash,RON,11/07/2022,No,False
329,Cora,-579.08,Restaurants,Cash,RON,08/07/2022,No,False
330,,7621,Salary,Cash,RON,08/07/2022,No,False
331,Pablito,-34,Restaurants,Cash,RON,07/07/2022,No,False
332,Mega Image,-21.75,Restaurants,Cash,RON,06/07/2022,No,False
333,Bilet CTP,-3,Transportation,Cash,RON,06/07/2022,No,False
334,Bilet CTP,-3,Transportation,Cash,RON,06/07/2022,No,False
335,Bonuri masa,289,Salary,Cash,RON,05/07/2022,No,False
336,Casti Corsair HS60,-239.98,Electronics,Cash,RON,04/07/2022,No,False
337,Dentist,-1000,Doctor,Cash,RON,04/07/2022,No,False
338,Ela,110,Other Income,Cash,RON,03/07/2022,No,False
339,Profi,-88.52,Restaurants,Cash,RON,02/07/2022,No,False
340,,-45.8,Taxi,Cash,RON,02/07/2022,No,False
341,,-383.98,Petrol,Cash,RON,02/07/2022,No,False
342,Nunta Dragos si Gianina,-1000,Other Expense,Cash,RON,02/07/2022,No,False
343,Stradale,-27,Restaurants,Cash,RON,01/07/2022,No,False
344,Laura,-29.85,Friends & Lover,Cash,RON,01/07/2022,No,False
345,,-121.77,Water Bill,Cash,RON,30/06/2022,No,False
346,,-52.42,Internet Bill,Cash,RON,30/06/2022,No,False
347,Fresh box,-8,Restaurants,Cash,RON,29/06/2022,No,False
348,Bilet CTP,-2.5,Transportation,Cash,RON,29/06/2022,No,False
349,Stradale,-27,Restaurants,Cash,RON,28/06/2022,No,False
350,Colțar,-3959.99,Home Improvement,Cash,RON,28/06/2022,No,False
351,,-50,Home Improvement,Cash,RON,28/06/2022,No,False
352,Mega Image,-40.39,Restaurants,Cash,RON,24/06/2022,No,False
353,Deodorant,-17.24,Personal Care,Cash,RON,24/06/2022,No,False
354,Mega Image,-8.22,Restaurants,Cash,RON,23/06/2022,No,False
355,Cartele interfon,-60,Other Expense,Cash,RON,23/06/2022,No,False
356,Mega Image,-10.37,Restaurants,Cash,RON,20/06/2022,No,False
357,"Tenisi, pantaloni ploaie, husa ploaie",-334.97,Sports,Cash,RON,20/06/2022,No,False
358,Lebeniță,-30,Restaurants,Cash,RON,19/06/2022,No,False
359,Bilet CTP,-2.5,Transportation,Cash,RON,19/06/2022,No,False
360,Bilet Vișeu de sus,-48,Transportation,Cash,RON,19/06/2022,No,False
361,,-19.7,Taxi,Cash,RON,19/06/2022,No,False
362,,-5,Charity,Cash,RON,19/06/2022,No,False
363,Ady,100,Other Income,Cash,RON,19/06/2022,No,False
364,,-24.6,Taxi,Cash,RON,17/06/2022,No,False
365,Detartraj,-330,Doctor,Cash,RON,17/06/2022,No,False
366,Mega Image,-16.43,Restaurants,Cash,RON,16/06/2022,No,False
367,Mega Image,-22.31,Restaurants,Cash,RON,15/06/2022,No,False
368,Mega Image,-14.35,Restaurants,Cash,RON,14/06/2022,No,False
369,Fresh box,-28,Restaurants,Cash,RON,14/06/2022,No,False
370,Mega Image,-8.79,Food & Beverage,Cash,RON,13/06/2022,No,False
371,,-462.79,Petrol,Cash,RON,13/06/2022,No,False
372,BTC,-2000,Crypto Buy,Cash,RON,13/06/2022,No,False
373,Bere,-60,Food & Beverage,Cash,RON,12/06/2022,No,False
374,Profi,-2.61,Restaurants,Cash,RON,10/06/2022,No,False
375,Laura,-396,Friends & Lover,Cash,RON,10/06/2022,No,False
376,,7620,Salary,Cash,RON,07/06/2022,No,False
377,Cafea boabe,-234,Café,Cash,RON,06/06/2022,No,False
378,Bilet CTP,-2.5,Transportation,Cash,RON,06/06/2022,No,False
379,Verighete,-4560,Family,Cash,RON,06/06/2022,No,False
380,Bere,-106.6,Food & Beverage,Cash,RON,03/06/2022,No,False
381,Mega Image,-14.5,Restaurants,Cash,RON,03/06/2022,No,False
382,Bonuri masa,357,Salary,Cash,RON,03/06/2022,No,False
383,Carmangeria Halal,-37.76,Restaurants,Cash,RON,01/06/2022,No,False
384,Oculus Rift S,-800,Electronics,Cash,RON,31/05/2022,No,False
385,Laura,-29.85,Friends & Lover,Cash,RON,31/05/2022,No,False
386,Auchan,-124.16,Restaurants,Cash,RON,29/05/2022,No,False
387,Spartan,-41.5,Restaurants,Cash,RON,29/05/2022,No,False
