ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
1,Profi,-75.36,Restaurants,Cash,RON,08/03/2023,No,False
2,Flori,-50,Friends & Lover,Cash,RON,08/03/2023,No,False
3,,9401,Salary,Cash,RON,08/03/2023,No,False
4,Profi,-15.28,Restaurants,Cash,RON,06/03/2023,No,False
5,Bilet CTP,-3,Transportation,Cash,RON,06/03/2023,No,False
6,Bilet CTP,-3,Transportation,Cash,RON,06/03/2023,No,False
7,Mega Image,-13.17,Restaurants,Cash,RON,03/03/2023,No,False
8,Suc,-3.69,Food & Beverage,Cash,RON,02/03/2023,No,False
9,Bonuri masa,400,Salary,Cash,RON,02/03/2023,No,False
10,Pry tools,-39.41,Electronics,Cash,RON,01/03/2023,No,False
11,Profi,-29.97,Restaurants,Cash,RON,28/02/2023,No,False
12,Mărțișoare,-30,Friends & Lover,Cash,RON,28/02/2023,No,False
13,Laptop Lenovo Legion 5 Pro 3070 Ti,-8198.99,Electronics,Cash,RON,27/02/2023,No,False
14,,-147.57,Water Bill,Cash,RON,26/02/2023,No,False
15,,-124.09,Internet Bill,Cash,RON,26/02/2023,No,False
16,"Anvelope, sa",-217.21,Bike,Cash,RON,24/02/2023,No,False
17,Cora,-111,Restaurants,Cash,RON,23/02/2023,No,False
18,Culegere de Chimie organica,-31,Other Expense,Cash,RON,23/02/2023,No,False
19,Bere,-22,Food & Beverage,Cash,RON,22/02/2023,No,False
20,Profi,-8.5,Restaurants,Cash,RON,22/02/2023,No,False
21,Mega Image,-8.18,Restaurants,Cash,RON,22/02/2023,No,False
22,Cora,-147.71,Restaurants,Cash,RON,21/02/2023,No,False
23,Bere,-76,Food & Beverage,Cash,RON,18/02/2023,No,False
24,Profi,-124.11,Restaurants,Cash,RON,18/02/2023,No,False
25,Avans mobila,-6500,Home Improvement,Cash,RON,18/02/2023,No,False
26,Fresh box,-25,Restaurants,Cash,RON,17/02/2023,No,False
27,Mega Image,-10.23,Restaurants,Cash,RON,16/02/2023,No,False
28,Impozit auto,-179,Maintenance,Cash,RON,16/02/2023,No,False
29,Impozit apartament,-343,Fees & Charges,Cash,RON,16/02/2023,No,False
30,Noptiera,-358,Home Improvement,Cash,RON,15/02/2023,No,False
31,Mega Image,-29.72,Restaurants,Cash,RON,14/02/2023,No,False
32,Profi,-98.81,Restaurants,Cash,RON,12/02/2023,No,False
